date_local,NO2_mean_ppb,NO2_median_ppb,NO2_max_ppb,AQI_mean,first_max_hour_mode
2020-12-01,29.54145475,32.1833335,57.783333,42.9375,17
2020-12-02,31.52211275,33.8333335,53.029167,50.125,16
2020-12-03,23.84743775,23.219383999999998,54.620833,38.25,0
2020-12-04,26.5076529375,28.9104165,58.358333,40.0,19
2020-12-05,28.75195875,29.80625,48.095833,41.0625,17
2020-12-06,24.074649,26.03125,36.1625,36.125,19
2020-12-07,29.057982375,30.8125,48.925,42.3125,10
2020-12-08,23.219215124999998,23.150189,44.220833,37.375,17
2020-12-09,25.4956860625,24.694655500000003,49.120833,39.75,7
2020-12-10,19.88901525,20.972916499999997,28.516667,33.0,8
2020-12-11,18.1289444375,17.808332999999998,35.816667,28.9375,23
2020-12-12,16.2630660625,17.3270835,24.545833,25.3125,19
2020-12-13,13.25380425,13.279437999999999,19.947826,24.6875,21
2020-12-14,13.9834578125,13.13125,30.154167,26.25,0
2020-12-15,21.53705825,23.168750000000003,47.133333,32.6875,18
2020-12-16,26.27326375,28.09375,49.875,37.0625,8
2020-12-17,21.7774404375,22.313889,38.6875,36.25,9
2020-12-18,20.02820775,20.94375,41.720833,33.25,19
2020-12-19,21.606297375,23.393749999999997,37.245833,33.0625,19
2020-12-20,21.3643795625,23.589583,34.829167,34.0625,19
2020-12-21,25.853227,26.9333335,46.5375,40.25,18
2020-12-22,24.51892025,24.860416999999998,31.7,37.9375,8
2020-12-23,24.4091843125,26.0034725,41.475,41.5625,16
2020-12-24,18.0475639375,16.875453,38.6625,28.125,11
2020-12-25,12.763802,13.4270835,19.0125,24.75,19
2020-12-26,17.040659,19.3604165,25.995833,26.25,8
2020-12-27,11.031038733333332,12.079167,15.5375,20.0,0
2020-12-28,8.890096666666667,8.733333,18.291667,19.333333333333332,21
2020-12-29,17.223845125,16.864583,35.491667,28.9375,19
2020-12-30,21.2883039375,23.8583335,43.895833,33.3125,18
2020-12-31,17.2844995,16.264583,34.570833,29.9375,8
2021-01-01,13.942798999999999,16.422916999999998,23.0125,24.9375,18
2021-01-02,17.015364625,18.68125,22.195833,25.0625,8
2021-01-03,14.431702875,15.622916499999999,18.1,22.375,21
2021-01-04,18.2557063125,17.589582999999998,28.1625,28.25,19
2021-01-05,21.8681499375,22.8208335,36.6125,32.6875,18
2021-01-06,25.7876763125,27.0,39.270833,41.0625,18
2021-01-07,28.5599184375,30.227083,44.883333,43.3125,18
2021-01-08,26.52982325,28.6083335,37.570833,42.0,13
2021-01-09,20.037828375,22.8375,33.091667,31.0625,6
2021-01-10,16.70151725,19.6020835,28.325,27.5625,21
2021-01-11,23.5648324375,25.3875,46.05,35.3125,7
2021-01-12,26.34548225,28.525,46.675,36.625,18
2021-01-13,28.473288875,30.610326,52.128571,39.75,18
2021-01-14,26.27846357142857,29.175,43.55,39.642857142857146,7
2021-01-15,25.37460133333333,27.35,50.225,39.8,18
2021-01-16,25.241038666666665,28.8125,40.095833,39.93333333333333,19
2021-01-17,18.853454133333333,19.541667,29.420833,33.733333333333334,19
2021-01-18,21.396231866666668,23.0375,31.279167,36.6,7
2021-01-19,7.1810496,6.204167,12.7125,19.6,7
2021-01-20,11.283647333333333,10.55,24.6875,23.6,7
2021-01-21,18.836085933333333,16.745833,31.320833,30.2,20
2021-01-22,11.833007266666668,12.120833,17.933333,24.2,0
2021-01-23,10.328200466666665,10.3,15.275,18.6,23
2021-01-24,8.7137318,9.520833,12.1,15.8,0
2021-01-25,7.349118333333333,6.808333,20.979167,19.266666666666666,21
2021-01-26,14.579791666666667,12.858333,27.875,27.6,7
2021-01-27,13.1412516,11.958333,20.841667,23.4,7
2021-01-28,14.006038666666667,14.954167,17.9125,28.666666666666668,7
2021-01-29,11.0248145625,10.8333335,23.263158,22.4375,20
2021-01-30,14.1515738125,14.870833000000001,25.3125,24.875,20
2021-01-31,14.9964675,16.666667,24.091667,27.25,21
2021-02-01,24.3151834375,24.5625,39.7,38.1875,18
2021-02-02,20.4655901875,19.714394,33.635,31.5625,8
2021-02-03,17.1296501875,17.327083,26.445833,27.9375,12
2021-02-04,15.457298125,14.375,20.475,28.8125,21
2021-02-05,21.528548375,21.2416665,40.883333,32.5,21
2021-02-06,23.6835823125,23.608333000000002,34.408333,37.375,20
2021-02-07,18.9311112,19.895833,25.6,30.533333333333335,0
2021-02-08,14.2621016,15.5625,20.129167,23.866666666666667,0
2021-02-09,10.8571299375,10.274999999999999,17.458333,20.3125,16
2021-02-10,17.11681025,16.1958335,36.420833,28.6875,23
2021-02-11,19.228677125,18.754715,33.629167,29.6875,9
2021-02-12,11.3658515625,11.047917,20.888235,24.4375,23
2021-02-13,10.408441933333334,11.1125,16.708333,22.533333333333335,0
2021-02-14,4.1526087333333335,2.741667,17.570833,8.733333333333333,23
2021-02-15,14.686671133333334,13.941667,21.479167,23.4,6
2021-02-16,9.00497875,9.391228,16.004167,19.0,6
2021-02-17,12.7195579375,11.9229165,28.714286,23.5,7
2021-02-18,16.76953225,14.6541665,36.866667,31.0625,7
2021-02-19,24.704594750000002,26.041249999999998,40.320833,37.4375,7
2021-02-20,13.95327225,14.8020835,22.283333,28.375,0
2021-02-21,13.033118125,14.3875,21.0625,27.8125,21
2021-02-22,19.6325793125,20.89125,35.075,33.8125,7
2021-02-23,23.103385437500002,23.7386905,39.279167,37.3125,22
2021-02-24,20.240253625,20.83125,30.283333,34.0625,7
2021-02-25,15.9685795625,16.489705999999998,32.033333,30.625,21
2021-02-26,22.705813,24.464583500000003,38.825,36.875,23
2021-02-27,13.09558425,13.3541665,24.1125,28.6875,0
2021-02-28,11.521603125,14.15625,20.195833,24.25,23
2021-03-01,18.4765511875,19.31875,31.520833,35.75,22
2021-03-02,20.7020756875,21.779166500000002,34.7875,35.6875,0
2021-03-03,18.1398178125,19.2247025,23.870833,34.0,6
2021-03-04,16.68101875,16.354762,31.529167,29.8125,22
