date_local,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean
2020-09-27,0.29722208333333333,0.320833,0.408333,4.333333333333333
2020-09-28,0.34375,0.38125,0.479167,5.5
2020-09-29,0.3743055833333333,0.4,0.570833,6.0
2020-09-30,0.47256950000000003,0.48750000000000004,0.804167,8.0
2020-10-01,0.53761575,0.5375000000000001,0.825,8.916666666666666
2020-10-02,0.5373843333333334,0.578472,0.741667,7.916666666666667
2020-10-03,0.6006945,0.614583,0.7875,8.833333333333334
2020-10-04,0.60659725,0.6458335,0.820833,8.416666666666666
2020-10-05,0.6469565833333334,0.6770835,0.983333,9.333333333333334
2020-10-06,0.6130208333333333,0.671875,0.875,9.0
2020-10-07,0.4974265,0.51875,0.720833,7.5
2020-10-08,0.29159725,0.30625,0.353333,4.166666666666667
2020-10-09,0.289808,0.316667,0.358333,4.083333333333333
2020-10-10,0.24930558333333333,0.283333,0.325,2.8333333333333335
2020-10-11,0.28958316666666667,0.320833,0.425,5.0
2020-10-12,0.4027776666666667,0.43333299999999997,0.608333,6.416666666666667
2020-10-13,0.48469891666666665,0.511111,0.85,7.916666666666667
2020-10-14,0.5437500833333334,0.5458335000000001,1.0375,9.083333333333334
2020-10-15,0.5422454166666667,0.6138889999999999,0.775,8.083333333333334
2020-10-16,0.5274305,0.5791665,0.841667,8.25
2020-10-17,0.48368066666666665,0.5333330000000001,0.75,8.166666666666666
2020-10-18,0.38958325,0.4354165,0.570833,5.666666666666667
2020-10-19,0.3260416666666667,0.36875,0.479167,4.75
2020-10-20,0.32916675,0.358333,0.458333,4.833333333333333
2020-10-21,0.35431641666666663,0.375,0.441667,5.166666666666667
2020-10-22,0.27465275,0.28541700000000003,0.3625,4.0
2020-10-23,0.28020833333333334,0.295833,0.325,4.083333333333333
2020-10-24,0.2208335,0.2083335,0.3,3.1666666666666665
2020-10-25,0.17465275,0.18125000000000002,0.241667,2.5833333333333335
2020-10-26,0.29444458333333334,0.25625,0.616667,5.75
2020-10-27,0.5382576363636363,0.5125,1.083333,8.818181818181818
2020-10-28,0.5218751666666667,0.49583350000000004,0.816667,8.083333333333334
2020-10-29,0.5892361666666667,0.5854165,1.1,9.333333333333334
2020-10-30,0.6596645,0.691667,1.075,11.0
2020-10-31,0.6309026666666667,0.620833,1.095833,10.083333333333334
2020-11-01,0.6204860833333333,0.6270830000000001,0.904167,10.333333333333334
2020-11-02,0.5701388333333334,0.5875,0.870833,9.25
2020-11-03,0.5354134166666666,0.5344365,0.745833,7.416666666666667
2020-11-04,0.6206018333333333,0.652778,1.0375,9.5
